#First two columns are conformal time, the other three columns are tau0*tau0*r*Dl*Window1*Window2
#tau1     tau2      D2_integrand      D9_integrand      D42_integrand
11239.7      9954.26      -4.91719e-09      1.47609e-09      1.01652e-10
11231.9      9943.01      -4.27426e-09      1.21623e-09      5.00959e-11
11224.1      9931.77      -3.65559e-09      1.02452e-09      4.4386e-11
11216.3      9920.52      -3.11325e-09      8.5196e-10      3.03741e-11
11208.4      9909.27      -2.64944e-09      7.06209e-10      3.69315e-12
11200.6      9898.03      -2.23179e-09      5.908e-10      -1.22827e-12
11192.8      9886.78      -1.8771e-09      4.851e-10      -1.20454e-11
11185      9875.53      -1.55231e-09      4.18867e-10      2.52785e-12
11177.2      9864.29      -1.28847e-09      3.44449e-10      -5.80559e-13
11169.4      9853.04      -1.05812e-09      2.88229e-10      2.1959e-12
11161.6      9841.79      -8.6781e-10      2.38983e-10      4.84071e-12
11153.7      9830.55      -7.0825e-10      1.96892e-10      5.79935e-12
11145.9      9819.3      -5.75547e-10      1.61893e-10      6.83201e-12
11138.1      9808.05      -4.69874e-10      1.2765e-10      3.21124e-12
11130.3      9796.81      -3.77849e-10      1.04217e-10      4.39289e-12
11122.5      9785.56      -3.0438e-10      8.18398e-11      2.18223e-12
11114.7      9774.32      -2.42946e-10      6.47956e-11      1.7621e-12
11106.9      9763.07      -1.93725e-10      5.05193e-11      6.78852e-13
11099.1      9751.82      -1.52923e-10      3.97993e-11      4.73215e-13
11091.2      9740.58      -1.20086e-10      3.15443e-11      6.2554e-13
11083.4      9729.33      -9.44871e-11      2.4249e-11      -1.25935e-13
11075.6      9718.08      -7.31669e-11      1.90162e-11      8.26632e-14
11067.8      9706.84      -5.68547e-11      1.45095e-11      -2.3773e-13
11060      9695.59      -4.3649e-11      1.13668e-11      -1.25861e-13
11052.2      9684.34      -3.35531e-11      8.48318e-12      -3.02006e-13
12181.2      11384.8      0      0      0
12173.1      11373.4      -2.58768e-11      3.93049e-12      -1.28426e-13
12165      11362      -3.15082e-11      4.93102e-12      -7.93671e-14
12156.8      11350.6      -3.84441e-11      6.10528e-12      -8.32068e-14
12148.7      11339.1      -4.67838e-11      7.50415e-12      -2.84476e-14
12140.5      11327.7      -5.66596e-11      9.38271e-12      3.41963e-13
12132.4      11316.3      -6.87297e-11      1.13318e-11      6.58793e-13
12124.2      11304.9      -8.29165e-11      1.40828e-11      1.39694e-12
12116.1      11293.5      -1.00406e-10      1.6977e-11      2.15529e-12
12108      11282.1      -1.21716e-10      2.00943e-11      2.67456e-12
12099.8      11270.7      -1.47106e-10      2.40128e-11      3.68614e-12
12091.7      11259.3      -1.78476e-10      2.74686e-11      3.81446e-12
12083.5      11247.8      -2.14158e-10      3.30914e-11      5.00573e-12
12075.4      11236.4      -2.57337e-10      3.81862e-11      4.91982e-12
12067.2      11225      -3.08013e-10      4.52863e-11      4.12573e-12
12059.1      11213.6      -3.67361e-10      5.44757e-11      4.06995e-12
12051      11202.2      -4.39925e-10      6.28275e-11      1.61565e-13
12042.8      11190.8      -5.18643e-10      7.95958e-11      1.87815e-12
12034.7      11179.4      -6.14953e-10      9.47382e-11      -1.26822e-12
12026.5      11168      -7.24131e-10      1.17008e-10      -3.0159e-12
12018.4      11156.5      -8.52929e-10      1.41451e-10      -6.42713e-12
12010.2      11145.1      -1.00582e-09      1.67595e-10      -1.658e-11
12002.1      11133.7      -1.17151e-09      2.07778e-10      -1.55741e-11
11993.9      11122.3      -1.37444e-09      2.48603e-10      -2.53761e-11
11985.8      11110.9      -1.5988e-09      3.07853e-10      -2.38831e-11
11977.7      11099.5      -1.8678e-09      3.62743e-10      -3.25322e-11
11969.5      11088.1      -2.1769e-09      4.29396e-10      -4.45576e-11
11961.4      11076.7      -2.5218e-09      5.13414e-10      -4.53636e-11
11953.2      11065.2      -2.93347e-09      5.99084e-10      -5.83696e-11
11945.1      11053.8      -3.38267e-09      7.16036e-10      -4.80868e-11
11936.9      11042.4      -3.92345e-09      8.29369e-10      -5.76101e-11
11928.8      11031      -4.53349e-09      9.55839e-10      -5.84191e-11
11920.7      11019.6      -5.21986e-09      1.10543e-09      -4.34311e-11
11912.5      11008.2      -6.02848e-09      1.25093e-09      -4.59002e-11
11904.4      10996.8      -6.91202e-09      1.45148e-09      -8.75381e-12
11896.2      10985.4      -7.95826e-09      1.65043e-09      3.78121e-12
11888.1      10973.9      -9.13984e-09      1.85425e-09      1.60699e-11
11879.9      10962.5      -1.04813e-08      2.10425e-09      5.25841e-11
11871.8      10951.1      -1.20403e-08      2.29981e-09      5.77488e-11
11863.7      10939.7      -1.36942e-08      2.59413e-09      1.49285e-10
11855.5      10928.3      -1.56188e-08      2.85057e-09      1.93398e-10
11847.4      10916.9      -1.77592e-08      3.15475e-09      2.30532e-10
11839.2      10905.5      -2.01482e-08      3.50308e-09      3.12444e-10
11831.1      10894.1      -2.2914e-08      3.71243e-09      2.57709e-10
11822.9      10882.6      -2.57113e-08      4.20236e-09      4.29662e-10
11814.8      10871.2      -2.89458e-08      4.48856e-09      4.55281e-10
11806.7      10859.8      -3.23828e-08      5.02285e-09      5.79559e-10
11798.5      10848.4      -3.61765e-08      5.50513e-09      6.9445e-10
11790.4      10837      -4.04978e-08      5.81865e-09      5.16649e-10
11782.2      10825.6      -4.47388e-08      6.66951e-09      8.09546e-10
11774.1      10814.2      -4.97158e-08      7.17197e-09      7.12603e-10
11765.9      10802.8      -5.46798e-08      8.11163e-09      9.69808e-10
11757.8      10791.3      -6.02134e-08      8.77968e-09      9.3815e-10
11749.7      10779.9      -6.62384e-08      9.51648e-09      5.86781e-10
11741.5      10768.5      -7.22011e-08      1.05878e-08      6.44135e-10
11733.4      10757.1      -7.8985e-08      1.14853e-08      1.32713e-10
11725.2      10745.7      -8.54388e-08      1.31665e-08      2.24598e-10
11717.1      10734.3      -9.26617e-08      1.43592e-08      -2.86364e-10
11708.9      10722.9      -9.98908e-08      1.58345e-08      -7.17772e-10
11700.8      10711.5      -1.07022e-07      1.74337e-08      -9.71231e-10
11692.6      10700      -1.14776e-07      1.89765e-08      -1.6888e-09
11684.5      10688.6      -1.21702e-07      2.14125e-08      -1.55749e-09
11676.4      10677.2      -1.29429e-07      2.34658e-08      -2.13628e-09
11668.2      10665.8      -1.36996e-07      2.58937e-08      -2.52857e-09
11660.1      10654.4      -1.44543e-07      2.84896e-08      -2.72953e-09
11651.9      10643      -1.52604e-07      3.04312e-08      -3.29633e-09
11643.8      10631.6      -1.5935e-07      3.33967e-08      -2.67548e-09
11635.6      10620.2      -1.66841e-07      3.58465e-08      -2.73883e-09
11627.5      10608.7      -1.73944e-07      3.84113e-08      -2.55483e-09
11619.4      10597.3      -1.8111e-07      4.12081e-08      -2.12737e-09
11611.2      10585.9      -1.88945e-07      4.23805e-08      -2.62888e-09
11603.1      10574.5      -1.94843e-07      4.50251e-08      -1.28967e-09
11594.9      10563.1      -2.01968e-07      4.62724e-08      -9.85792e-10
11586.8      10551.7      -2.07978e-07      4.83358e-08      8.06232e-11
11578.6      10540.3      -2.14124e-07      4.96742e-08      1.12148e-09
11570.5      10528.9      -2.21013e-07      4.92792e-08      5.39227e-10
11562.4      10517.4      -2.25649e-07      5.09436e-08      1.86324e-09
11554.2      10506      -2.31695e-07      4.96947e-08      1.3536e-09
11546.1      10494.6      -2.34983e-07      5.07667e-08      2.81669e-09
11537.9      10483.2      -2.38943e-07      5.00385e-08      3.2192e-09
11529.8      10471.8      -2.42873e-07      4.84316e-08      2.43582e-09
11521.6      10460.4      -2.44481e-07      4.85283e-08      3.67879e-09
11513.5      10449      -2.47516e-07      4.62309e-08      2.39988e-09
11505.4      10437.6      -2.46993e-07      4.68525e-08      3.81023e-09
11497.2      10426.1      -2.47284e-07      4.51503e-08      3.41698e-09
11489.1      10414.7      -2.46227e-07      4.38818e-08      2.9401e-09
11480.9      10403.3      -2.43875e-07      4.2972e-08      3.4592e-09
11472.8      10391.9      -2.42035e-07      4.09594e-08      2.25575e-09
11464.6      10380.5      -2.36694e-07      4.13093e-08      3.99391e-09
11456.5      10369.1      -2.32425e-07      3.99201e-08      3.7294e-09
11448.4      10357.7      -2.26735e-07      3.949e-08      4.09284e-09
11440.2      10346.3      -2.20628e-07      3.82955e-08      4.4878e-09
11432.1      10334.9      -2.14981e-07      3.64049e-08      3.89157e-09
11423.9      10323.4      -2.07112e-07      3.58531e-08      4.90443e-09
11415.8      10312      -2.00537e-07      3.39932e-08      4.04221e-09
11407.6      10300.6      -1.93246e-07      3.26245e-08      3.40343e-09
11399.5      10289.2      -1.85648e-07      3.08022e-08      2.17074e-09
11391.3      10277.8      -1.78373e-07      2.78978e-08      4.59069e-12
11383.2      10266.4      -1.69149e-07      2.66912e-08      -8.3021e-10
11375.1      10255      -1.60784e-07      2.51053e-08      -2.38951e-09
11366.9      10243.6      -1.51188e-07      2.44583e-08      -2.82678e-09
11358.8      10232.1      -1.41743e-07      2.40059e-08      -3.11613e-09
11350.6      10220.7      -1.32889e-07      2.27376e-08      -4.13337e-09
11342.5      10209.3      -1.22917e-07      2.26594e-08      -3.79071e-09
11334.3      10197.9      -1.14126e-07      2.13805e-08      -4.14454e-09
11326.2      10186.5      -1.04401e-07      2.1279e-08      -3.24139e-09
11318.1      10175.1      -9.573e-08      2.05331e-08      -2.6819e-09
11309.9      10163.7      -8.77587e-08      1.93321e-08      -2.48687e-09
11301.8      10152.3      -7.97535e-08      1.87034e-08      -1.68736e-09
11293.6      10140.8      -7.31033e-08      1.69672e-08      -1.82318e-09
11285.5      10129.4      -6.57685e-08      1.64408e-08      -8.21227e-10
11277.3      10118      -5.94962e-08      1.50162e-08      -4.28626e-10
11269.2      10106.6      -5.36558e-08      1.36881e-08      -1.38245e-10
11261.1      10095.2      -4.81953e-08      1.24654e-08      2.86621e-10
11252.9      10083.8      -4.35112e-08      1.08534e-08      1.93621e-10
11244.8      10072.4      -3.8621e-08      9.96489e-09      6.53474e-10
11236.6      10061      -3.4504e-08      8.70055e-09      6.30422e-10
11228.5      10049.5      -3.05922e-08      7.7036e-09      6.84125e-10
11220.3      10038.1      -2.70737e-08      6.66159e-09      6.98663e-10
11212.2      10026.7      -2.39597e-08      5.62647e-09      5.57264e-10
11204.1      10015.3      -2.09185e-08      4.90162e-09      6.50422e-10
11195.9      10003.9      -1.83392e-08      4.14625e-09      5.41563e-10
11187.8      9992.48      -1.59261e-08      3.57383e-09      4.9527e-10
11179.6      9981.07      -1.37966e-08      3.00459e-09      4.15117e-10
11171.5      9969.65      -1.19334e-08      2.48248e-09      2.82672e-10
11163.3      9958.24      -1.01901e-08      2.10737e-09      2.42749e-10
11155.2      9946.83      -8.72133e-09      1.74137e-09      1.47761e-10
11147.1      9935.42      -7.38032e-09      1.4723e-09      1.20722e-10
11138.9      9924      -6.22009e-09      1.23618e-09      8.68e-11
11130.8      9912.59      -5.2363e-09      1.00673e-09      2.56616e-11
11122.6      9901.18      -4.35393e-09      8.48536e-10      1.00486e-11
11114.5      9889.77      -3.62822e-09      6.91939e-10      -2.66346e-11
11106.3      9878.35      -2.97725e-09      5.87856e-10      -2.43354e-11
11098.2      9866.94      -2.44294e-09      4.94585e-10      -2.6005e-11
