#k_size_bessel = 25000
#tau_size_selection = 50
#Gaussian z1=1.66792, z2= 1.83296 (0.0001)
#rsd-rsd
#tau1      tau2         l(l+1)Dl(tau1,tau2)
#l = 2
11584.8     9210.97      -1.65542e-08
11584.8     9314.18      -1.39765e-08
11584.8     9417.39      -1.75239e-08
11584.8     9520.61      -1.89473e-08
11584.8     9623.82      -3.18342e-08
11584.8     9727.03      -3.41056e-08
11584.8     9830.24      -3.31776e-08
11584.8     9933.45      -4.9765e-08
11584.8     10036.7      -5.76989e-08
11584.8     10139.9      -7.86821e-08
11584.8     10243.1      -8.76378e-08
11584.8     10346.3      -1.13817e-07
11584.8     10449.5      -1.64322e-07
11584.8     10552.7      -1.92928e-07
11584.8     10655.9      -2.64495e-07
11584.8     10759.2      -3.45823e-07
11584.8     10862.4      -4.77036e-07
11584.8     10965.6      -6.70439e-07
11584.8     11068.8      -9.09385e-07
11584.8     11172      -1.42343e-06
11584.8     11275.2      -2.35237e-06
11584.8     11378.4      -4.3859e-06
11584.8     11481.6      -1.93523e-06
11584.8     11584.8      7.06891e-05
11688.1     9107.76      -5.49151e-09
11688.1     9210.97      -1.1801e-08
11688.1     9314.18      -1.57237e-08
11688.1     9417.39      -1.15719e-08
11688.1     9520.61      -1.58939e-08
11688.1     9623.82      -1.87818e-08
11688.1     9727.03      -3.23568e-08
11688.1     9830.24      -3.43846e-08
11688.1     9933.45      -3.32003e-08
11688.1     10036.7      -5.32043e-08
11688.1     10139.9      -6.32355e-08
11688.1     10243.1      -8.64278e-08
11688.1     10346.3      -9.83078e-08
11688.1     10449.5      -1.29414e-07
11688.1     10552.7      -1.87369e-07
11688.1     10655.9      -2.18693e-07
11688.1     10759.2      -2.93344e-07
11688.1     10862.4      -3.75789e-07
11688.1     10965.6      -5.13291e-07
11688.1     11068.8      -7.21086e-07
11688.1     11172      -9.81814e-07
11688.1     11275.2      -1.5524e-06
11688.1     11378.4      -2.58101e-06
11688.1     11481.6      -4.82206e-06
11688.1     11584.8      -2.16046e-06
11688.1     11688.1      7.75446e-05
11791.3     9107.76      -5.92156e-09
11791.3     9210.97      -3.83768e-09
11791.3     9314.18      -9.36227e-09
11791.3     9417.39      -1.40415e-08
11791.3     9520.61      -1.08438e-08
11791.3     9623.82      -1.50919e-08
11791.3     9727.03      -1.77988e-08
11791.3     9830.24      -3.23545e-08
11791.3     9933.45      -3.64298e-08
11791.3     10036.7      -3.65424e-08
11791.3     10139.9      -5.86662e-08
11791.3     10243.1      -7.16694e-08
11791.3     10346.3      -9.94479e-08
11791.3     10449.5      -1.15229e-07
11791.3     10552.7      -1.49264e-07
11791.3     10655.9      -2.08835e-07
11791.3     10759.2      -2.36228e-07
11791.3     10862.4      -3.11303e-07
11791.3     10965.6      -3.96963e-07
11791.3     11068.8      -5.45318e-07
11791.3     11172      -7.7826e-07
11791.3     11275.2      -1.07099e-06
11791.3     11378.4      -1.70109e-06
11791.3     11481.6      -2.83711e-06
11791.3     11584.8      -5.31375e-06
11791.3     11688.1      -2.42324e-06
11791.3     11791.3      8.52276e-05
11894.5     9107.76      -4.18651e-09
11894.5     9210.97      -3.0677e-09
11894.5     9314.18      -1.21903e-09
11894.5     9417.39      -8.59319e-09
11894.5     9520.61      -1.31689e-08
11894.5     9623.82      -9.2049e-09
11894.5     9727.03      -1.35925e-08
11894.5     9830.24      -1.84454e-08
11894.5     9933.45      -3.56941e-08
11894.5     10036.7      -4.03781e-08
11894.5     10139.9      -4.26204e-08
11894.5     10243.1      -6.9287e-08
11894.5     10346.3      -8.63082e-08
11894.5     10449.5      -1.16641e-07
11894.5     10552.7      -1.30075e-07
11894.5     10655.9      -1.60382e-07
11894.5     10759.2      -2.18645e-07
11894.5     10862.4      -2.43538e-07
11894.5     10965.6      -3.22871e-07
11894.5     11068.8      -4.21129e-07
11894.5     11172      -5.89069e-07
11894.5     11275.2      -8.46111e-07
11894.5     11378.4      -1.16993e-06
11894.5     11481.6      -1.86785e-06
11894.5     11584.8      -3.12854e-06
11894.5     11688.1      -5.87375e-06
11894.5     11791.3      -2.72816e-06
11894.5     11894.5      9.39032e-05
11997.7     9107.76      -2.84289e-09
11997.7     9210.97      -1.72014e-09
11997.7     9314.18      -1.82023e-09
11997.7     9417.39      7.11848e-10
11997.7     9520.61      -6.87247e-09
11997.7     9623.82      -1.15359e-08
11997.7     9727.03      -9.09374e-09
11997.7     9830.24      -1.52838e-08
11997.7     9933.45      -2.08709e-08
11997.7     10036.7      -4.18271e-08
11997.7     10139.9      -4.94233e-08
11997.7     10243.1      -5.4841e-08
11997.7     10346.3      -8.40754e-08
11997.7     10449.5      -9.88469e-08
11997.7     10552.7      -1.24935e-07
11997.7     10655.9      -1.32594e-07
11997.7     10759.2      -1.60548e-07
11997.7     10862.4      -2.21063e-07
11997.7     10965.6      -2.52171e-07
11997.7     11068.8      -3.43675e-07
11997.7     11172      -4.51806e-07
11997.7     11275.2      -6.36643e-07
11997.7     11378.4      -9.21299e-07
11997.7     11481.6      -1.2827e-06
11997.7     11584.8      -2.05833e-06
11997.7     11688.1      -3.45799e-06
11997.7     11791.3      -6.50909e-06
11997.7     11894.5      -3.08996e-06
11997.7     11997.7      0.000103736
12100.9     9107.76      2.81811e-09
12100.9     9210.97      -1.73733e-09
12100.9     9314.18      6.53761e-11
12100.9     9417.39      4.9646e-10
12100.9     9520.61      3.588e-09
12100.9     9623.82      -6.63267e-09
12100.9     9727.03      -1.30712e-08
12100.9     9830.24      -1.06745e-08
12100.9     9933.45      -1.96285e-08
12100.9     10036.7      -2.83595e-08
12100.9     10139.9      -5.43214e-08
12100.9     10243.1      -6.27235e-08
12100.9     10346.3      -6.4944e-08
12100.9     10449.5      -8.98568e-08
12100.9     10552.7      -9.88579e-08
12100.9     10655.9      -1.21963e-07
12100.9     10759.2      -1.26814e-07
12100.9     10862.4      -1.61204e-07
12100.9     10965.6      -2.31707e-07
12100.9     11068.8      -2.6543e-07
12100.9     11172      -3.65333e-07
12100.9     11275.2      -4.84908e-07
12100.9     11378.4      -6.91068e-07
12100.9     11481.6      -1.00719e-06
12100.9     11584.8      -1.40797e-06
12100.9     11688.1      -2.27129e-06
12100.9     11791.3      -3.83644e-06
12100.9     11894.5      -7.24684e-06
12100.9     11997.7      -3.52116e-06
12100.9     12100.9      0.00011493
12204.1     9107.76      6.19625e-09
12204.1     9210.97      4.89839e-09
12204.1     9314.18      5.00281e-10
12204.1     9417.39      2.87212e-09
12204.1     9520.61      1.46689e-09
12204.1     9623.82      3.4395e-09
12204.1     9727.03      -8.06752e-09
12204.1     9830.24      -1.72681e-08
12204.1     9933.45      -1.73466e-08
12204.1     10036.7      -3.03769e-08
12204.1     10139.9      -4.02558e-08
12204.1     10243.1      -6.50412e-08
12204.1     10346.3      -6.70476e-08
12204.1     10449.5      -6.23438e-08
12204.1     10552.7      -8.41404e-08
12204.1     10655.9      -9.02954e-08
12204.1     10759.2      -1.19146e-07
12204.1     10862.4      -1.28424e-07
12204.1     10965.6      -1.65724e-07
12204.1     11068.8      -2.4209e-07
12204.1     11172      -2.79015e-07
12204.1     11275.2      -3.90601e-07
12204.1     11378.4      -5.23283e-07
12204.1     11481.6      -7.49897e-07
12204.1     11584.8      -1.10066e-06
12204.1     11688.1      -1.55287e-06
12204.1     11791.3      -2.52366e-06
12204.1     11894.5      -4.27403e-06
12204.1     11997.7      -8.08889e-06
12204.1     12100.9      -4.02961e-06
12204.1     12204.1      0.000127778
12307.3     9107.76      3.66565e-09
12307.3     9210.97      9.16022e-09
12307.3     9314.18      8.1391e-09
12307.3     9417.39      1.456e-09
12307.3     9520.61      2.70134e-09
12307.3     9623.82      9.00817e-10
12307.3     9727.03      7.99566e-10
12307.3     9830.24      -1.47065e-08
12307.3     9933.45      -2.81034e-08
