#k_size_bessel = 25000
#tau_size_selection = 50
#Gaussian z1=1, z2= 1.5 (1e-06)
#rsd-rsd
#tau1      tau2         l(l+1)Dl(tau1,tau2)
#l = 64
10141.6     12702      7.62558e-08
10141.6     12793.5      3.51402e-07
10141.6     12884.9      1.09713e-08
10141.6     12976.4      1.80184e-07
10141.6     13067.8      3.34554e-08
10141.6     13159.3      -1.21073e-07
10141.6     13250.7      1.16244e-07
10141.6     13342.1      -1.51653e-07
10141.6     13433.6      4.89558e-08
10141.6     13525      -4.11954e-08
10141.6     13616.5      4.75032e-08
10141.6     13707.9      1.16862e-08
10141.6     13799.4      1.27427e-08
10141.6     13890.8      2.57961e-09
10141.6     13982.3      8.06237e-09
10141.6     14073.7      -9.05545e-09
10141.6     14165.2      -0.592089
10233     9684.33      4.98843e-06
10233     9775.78      8.94331e-06
10233     9867.22      2.51664e-05
10233     9958.67      3.55372e-05
10233     10050.1      -0.000144007
10233     10141.6      -0.000973889
10233     10233      0.00958449
10233     10324.5      -0.00101636
10233     10415.9      -0.000129341
10233     10507.3      4.34532e-05
10233     10598.8      2.32144e-05
10233     10690.2      8.06792e-06
10233     10781.7      4.27242e-06
10233     10873.1      -2.1735e-06
10233     10964.6      -2.23546e-06
10233     11056      2.93888e-06
10233     11147.5      -1.78331e-06
10233     11238.9      -2.41076e-07
10233     11330.3      -2.81499e-07
10233     11421.8      -1.04496e-06
10233     11513.2      1.30695e-07
10233     11604.7      3.40107e-07
10233     11696.1      -6.56766e-07
10233     11787.6      -7.29274e-08
10233     11879      -1.03817e-06
10233     11970.5      -2.92984e-07
10233     12061.9      -9.97333e-08
10233     12153.4      2.56488e-07
10233     12244.8      -4.06597e-07
10233     12336.2      1.41349e-08
10233     12427.7      1.66422e-07
10233     12519.1      -1.94734e-07
10233     12610.6      9.47148e-08
10233     12702      2.53087e-07
10233     12793.5      -3.08647e-07
10233     12884.9      -5.3409e-08
10233     12976.4      1.7075e-07
10233     13067.8      7.8745e-08
10233     13159.3      -1.12745e-09
10233     13250.7      1.31978e-07
10233     13342.1      5.65204e-08
10233     13433.6      -4.93144e-08
10233     13525      -8.13486e-09
10233     13616.5      3.75251e-08
10233     13707.9      -1.26109e-08
10233     13799.4      -2.2842e-09
10233     13890.8      1.40782e-08
10233     13982.3      -7.28148e-09
10233     14073.7      9.74946e-09
10233     14165.2      0.620137
10324.5     9684.33      2.38253e-06
10324.5     9775.78      4.81601e-06
10324.5     9867.22      8.64576e-06
10324.5     9958.67      2.50956e-05
10324.5     10050.1      3.842e-05
10324.5     10141.6      -0.000137342
10324.5     10233      -0.00101636
10324.5     10324.5      0.0101637
10324.5     10415.9      -0.00105886
10324.5     10507.3      -0.000120254
10324.5     10598.8      4.56828e-05
10324.5     10690.2      2.21383e-05
10324.5     10781.7      7.96881e-06
10324.5     10873.1      4.3131e-06
10324.5     10964.6      -3.43523e-06
10324.5     11056      -2.3713e-06
10324.5     11147.5      3.1083e-06
10324.5     11238.9      -1.74928e-06
10324.5     11330.3      2.68339e-07
10324.5     11421.8      -9.97726e-07
10324.5     11513.2      -1.58502e-06
10324.5     11604.7      1.94752e-07
10324.5     11696.1      6.92927e-08
10324.5     11787.6      -3.24473e-07
10324.5     11879      -4.52543e-07
10324.5     11970.5      -1.12865e-06
10324.5     12061.9      1.58705e-07
10324.5     12153.4      -6.40697e-07
10324.5     12244.8      2.70552e-07
10324.5     12336.2      -5.87705e-07
10324.5     12427.7      3.85635e-07
10324.5     12519.1      -3.04597e-07
10324.5     12610.6      2.23092e-07
10324.5     12702      1.07302e-07
10324.5     12793.5      -3.2508e-07
10324.5     12884.9      -2.44492e-08
10324.5     12976.4      -1.56623e-07
10324.5     13067.8      -6.41153e-08
10324.5     13159.3      -2.04637e-07
10324.5     13250.7      5.75098e-08
10324.5     13342.1      1.69189e-07
10324.5     13433.6      3.43457e-08
10324.5     13525      -4.71128e-08
10324.5     13616.5      2.60684e-09
10324.5     13707.9      5.31074e-08
10324.5     13799.4      4.18528e-09
10324.5     13890.8      -7.59079e-09
10324.5     13982.3      4.87514e-09
10324.5     14073.7      -8.98725e-09
10324.5     14165.2      -0.618536
10415.9     9684.33      -1.94208e-06
10415.9     9775.78      1.82364e-06
10415.9     9867.22      4.73311e-06
10415.9     9958.67      8.52583e-06
10415.9     10050.1      2.46248e-05
10415.9     10141.6      4.11042e-05
10415.9     10233      -0.000129341
10415.9     10324.5      -0.00105886
10415.9     10415.9      0.0107763
10415.9     10507.3      -0.00110088
10415.9     10598.8      -0.000109861
10415.9     10690.2      4.74755e-05
10415.9     10781.7      2.07812e-05
10415.9     10873.1      7.81894e-06
10415.9     10964.6      4.44639e-06
10415.9     11056      -4.46765e-06
10415.9     11147.5      -2.65219e-06
10415.9     11238.9      2.76107e-06
10415.9     11330.3      -1.77997e-06
10415.9     11421.8      7.36864e-07
